Crash ID,$1000 Damage to Any One Person's Property,Active School Zone Flag,Adjusted Average Daily Traffic Amount,Agency,At Intersection Flag,Average Daily Traffic Amount,Average Daily Traffic Year,Case ID,Construction Zone Flag,Construction Zone Workers Present Flag,Crash Death Count,Crash Incapacitating Injury Count,Crash Non-incapacitating Injury Count,Crash Not Injured Count,Crash Possible Injury Count,Crash Severity,Crash Time,Crash Total Injury Count,Crash Unknown Injury Count,Crash Year,Day of Week,First Harmful Event,Highway System,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Longitude,Manner of Collision,Number of Lanes,Other Factor,Outside Shoulder Width on Divided Highway,Physical Feature 1,Private Drive Flag,Property Damages,Right of Way Usual Width,Road Class,Roadway Alignment,Roadway Part,Roadway Relation,Roadway Type,Speed Limit,Street Name,Street Number,Surface Condition,Traffic Control Type,Weather Condition,Person Helmet
12111502,False,False,,Austin Police Department,True,,,100291401,False,No,0,0,1,1,0,Non-Incapacitating Injury,1651,1,0,2010,Friday,Pedalcyclist,,,Non Intersection,30.29461477,Daylight,-97.74248246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,GUADALUPE ST,2817,Dry,None,Cloudy,Not Worn
11385296,False,False,,Austin Police Department,True,,,10-0340379,False,No,0,1,0,1,0,Incapacitating Injury,722,1,0,2010,Wednesday,Pedalcyclist,,W 6TH ST,Intersection,30.26805478,Daylight,-97.74281246,One Motor Vehicle - Turning Left,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,CONGRESS AVE,599,Unknown,Signal Light,Unknown,Not Worn
11184837,False,False,,Austin Police Department,True,,,10-0360484,False,No,0,0,0,0,1,Possible Injury,758,1,1,2010,Friday,Pedalcyclist,,UNKNOWN,Intersection,30.32328119,Daylight,-97.73400717,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,30,NORTHLOOP BLVD W,1204,Dry,Stop Sign,Clear,Not Worn
11184966,False,False,,Austin Police Department,True,,,10-0391347,False,No,0,0,0,4,1,Possible Injury,1658,1,0,2010,Monday,Pedalcyclist,,CONGRESS AVE S,Intersection,30.23550479,Daylight,-97.75636246,One Motor Vehicle - Turning Right,,Not Applicable,,Not Applicable,False,BLUE BICYCLE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,CUMBERLAND RD,100,Dry,Signal Light,Cloudy,Not Worn
11185022,False,False,,Austin Police Department,True,,,100441034,False,No,0,0,1,2,0,Non-Incapacitating Injury,1315,1,0,2010,Saturday,Pedalcyclist,,W 30TH ST,Intersection,30.29649477,Daylight,-97.74211246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,0,GUADALUPE ST,2933,Dry,Signal Light,Clear,Not Worn
11184972,True,False,,Austin Police Department,True,,,100451000,False,No,0,0,1,4,0,Non-Incapacitating Injury,1216,1,0,2010,Sunday,Motor Vehicle In Transport,,UNKNOWN,Intersection,30.34396476,Daylight,-97.71495247,Angle - Both Going Straight,,Not Applicable,,Not Applicable,False,NONE,,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,,45,N LAMAR BLVD,,Dry,Signal Light,Clear,Not Worn
11656056,False,False,123443,Austin Police Department,True,123443,2014,100451790,False,No,0,1,0,2,0,Incapacitating Injury,1945,1,0,2010,Sunday,Pedalcyclist,State Loop,US0183,Intersection,30.3682119,"Dark, Lighted",-97.74248522,One Motor Vehicle - Turning Left,6,Not Applicable,10,Not Applicable,False,NONE,350,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Divided",35,SL0001,,Dry,Signal Light,Cloudy,Not Worn
11768495,False,False,,Austin Police Department,True,,,10-0500818,False,No,0,0,1,2,0,Non-Incapacitating Injury,1126,1,0,2010,Friday,Pedalcyclist,,GUADALUPE ST,Intersection,30.26997478,Daylight,-97.74594246,One Motor Vehicle - Turning Left,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,,30,W 7TH ST,,Wet,Signal Light,Cloudy,Not Worn
11216714,False,False,33647,Austin Police Department,False,33647,2014,10-0511681,False,No,0,0,1,1,0,Non-Incapacitating Injury,1840,1,0,2010,Saturday,Pedalcyclist,State Loop,,Driveway Access,30.26035863,"Dark, Not Lighted",-97.75869945,One Motor Vehicle - Going Straight,4,One Vehicle Leaving Driveway,0,Entrance To Or Exit From Private Property Or Driveway,False,NONE,80,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",40,SL0343,508,Dry,None,Clear,Not Worn
12117650,False,False,,Austin Police Department,False,,,10-0530877,False,No,0,0,0,2,1,Possible Injury,1152,1,0,2010,Monday,Pedalcyclist,,UNKNOWN,Intersection Related,30.23604737,Daylight,-97.76345771,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,S 1ST ST,2898,Dry,None,Clear,Not Worn
11185428,False,False,,Austin Police Department,True,,,10-0360484,False,No,0,0,0,0,1,Possible Injury,758,1,1,2010,Thursday,Pedalcyclist,,UNKNOWN,Intersection,30.32328119,Daylight,-97.73400717,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,30,NORTHLOOP BLVD W,1204,Dry,Stop Sign,Clear,Not Worn
11340203,False,False,,Austin Police Department,False,,,100561292,False,No,0,0,1,1,0,Non-Incapacitating Injury,1543,1,0,2010,Thursday,Pedalcyclist,US Highway,,Driveway Access,,Daylight,,One Motor Vehicle - Going Straight,,One Vehicle Leaving Driveway,,In A Parking Lot,False,BICYCLE,,Non Trafficway,"Straight, Grade",Service/Frontage Road,Not Applicable,,55,US0071,,Dry,Other (Explain In Narrative),Clear,Not Worn
11220121,False,False,44866,Austin Police Department,False,44866,2014,10-0591497,False,No,0,0,0,1,1,Possible Injury,1654,1,0,2010,Sunday,Pedalcyclist,State Loop,,Non Intersection,30.35533624,Daylight,-97.79348984,One Motor Vehicle - Going Straight,4,Vehicle Changing Lanes,10,Not Applicable,False,NONE,291,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Divided",60,SL0360,,Dry,Marked Lanes,Clear,"Worn, Damaged"
11312103,True,False,,Austin Police Department,True,,,100600344,False,No,0,0,1,1,0,Non-Incapacitating Injury,650,1,0,2010,Monday,Pedalcyclist,,PLEASANT VALLEY RD N,Intersection,30.26009478,Daylight,-97.70946247,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,E 7TH ST,2798,Wet,Signal Light,Cloudy,Not Worn
11217227,False,False,,St Edward's University Police Department,False,,,10-0097,False,No,0,0,0,2,1,Possible Injury,230,1,0,2010,Tuesday,Pedalcyclist,,,Non Intersection,,"Dark, Not Lighted",,One Motor Vehicle - Going Straight,,Not Applicable,,In A Parking Lot,True,NONE,,Non Trafficway,"Straight, Level",Other (Explain In Narrative),Not Applicable,,35,WOODWARD ST,,Other (Explain In Narrative),None,Cloudy,Not Worn
11219281,False,False,,Austin Police Department,True,,,10-0611461,False,No,0,0,1,1,0,Non-Incapacitating Injury,1734,1,0,2010,Tuesday,Pedalcyclist,,BRAZOS ST,Intersection Related,30.28027478,Daylight,-97.73678246,One Motor Vehicle - Turning Right,,Not Applicable,,Not Applicable,False,SCWINN ROAD BIKE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,E MARTIN LUTHER KING JR BLVD,200,Dry,Signal Light,Clear,Unknown If Worn
11524643,False,False,,Austin Police Department,False,,,100611222,False,No,0,0,0,1,0,Not Injured,1541,0,1,2010,Tuesday,Pedalcyclist,Interstate,,Not Reported,,Daylight,,One Motor Vehicle - Other,,Not Applicable,,Not Applicable,False,NONE,,Interstate,"Straight, Level",Service/Frontage Road,Not Reported,,45,IH0035,,Dry,None,Clear,Unknown If Worn
11546153,False,False,,Austin Police Department,True,,,100611052,False,No,0,0,0,1,1,Possible Injury,1420,1,0,2010,Tuesday,Pedalcyclist,,STARSTREAK DR,Intersection Related,30.1934248,Daylight,-97.78006246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,MOUNTAIN BIKE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,W WILLIAM CANNON DR,,Dry,Stop Sign,Clear,Not Worn
11464818,True,False,,Austin Police Department,True,,,,False,No,0,0,2,1,0,Non-Incapacitating Injury,1737,2,0,2010,Wednesday,Motor Vehicle In Transport,,RIO GRANDE ST,Intersection,30.27877478,Daylight,-97.74619246,Opposite Direction - One Straight-One Left Turn,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,,30,W 15TH ST,,Dry,Signal Light,Clear,Not Worn
11470674,False,False,,Austin Police Department,True,,,10-0670787,False,No,0,0,1,1,0,Non-Incapacitating Injury,1136,1,0,2010,Monday,Pedalcyclist,,W 30TH ST,Intersection,30.29430477,Daylight,-97.73748246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,,30,UNIVERSITY AVE,2901,Wet,Stop Sign,Rain,Not Worn
11470675,False,False,,Austin Police Department,True,,,10-0670787,False,No,0,0,1,1,0,Non-Incapacitating Injury,1136,1,0,2010,Monday,Pedalcyclist,,W 30TH ST,Intersection,30.29430477,Daylight,-97.73748246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,,30,UNIVERSITY AVE,2901,Wet,Stop Sign,Rain,Not Worn
11328398,True,False,124466,Austin Police Department,False,124466,2014,10-0680348,False,No,0,1,0,1,0,Incapacitating Injury,608,1,0,2010,Tuesday,Pedalcyclist,Interstate,,Non Intersection,30.36106904,"Dark, Not Lighted",-97.68625661,One Motor Vehicle - Going Straight,6,Not Applicable,10,Not Applicable,False,NONE,300,Interstate,"Straight, Level",Service/Frontage Road,On Roadway,"4 Or More Lanes, Divided",55,IH0035,,Wet,Marked Lanes,Fog,Not Worn
11376350,False,False,,Austin Police Department,True,,,100681085,False,No,0,0,1,1,0,Non-Incapacitating Injury,1325,1,0,2010,Tuesday,Pedalcyclist,,DUVAL ST,Intersection,30.29264477,Daylight,-97.73363246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,,0,RATHERVUE PL,,Dry,Stop Sign,Clear,"Worn, Unk Damage"
11350439,False,False,,Austin Police Department,False,,,10-0692426,False,No,0,0,1,1,0,Non-Incapacitating Injury,2326,1,0,2010,Wednesday,Pedalcyclist,,UNKNOWN,Intersection Related,30.29883392,"Dark, Lighted",-97.74063632,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,GUADALUPE ST,3112,Dry,Marked Lanes,Clear,Not Worn
11243422,True,False,20895,Austin Police Department,True,20895,2014,10-0731811,False,No,0,0,1,0,0,Non-Incapacitating Injury,2025,1,0,2010,Sunday,Pedalcyclist,State Loop,RED RIVER ST,Intersection,30.2618442,"Dark, Lighted",-97.73886871,One Motor Vehicle - Turning Right,4,Not Applicable,10,Not Applicable,False,NONE,80,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",30,SL0343,598,Dry,Signal Light,Clear,Not Worn
11376416,False,False,,Austin Police Department,False,,,100730801,False,No,0,0,1,2,0,Non-Incapacitating Injury,1140,1,0,2010,Sunday,Pedalcyclist,,,Driveway Access,30.26297822,Daylight,-97.72636792,One Motor Vehicle - Turning Right,,One Vehicle Entering Driveway,,Entrance To Or Exit From Private Property Or Driveway,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,30,E 6TH ST,1607,Dry,Center Stripe/Divider,Clear,Not Worn
11359866,False,False,,Austin Police Department,False,,,100741866,False,No,0,0,0,1,1,Possible Injury,2123,1,0,2010,Monday,Pedalcyclist,,,Non Intersection,,Unknown,,One Motor Vehicle - Backing,,One Vehicle Backward From Parking,,In A Parking Lot,True,NONE,,Non Trafficway,Unknown,Main/Proper Lane,Not Applicable,,0,E RIVERSIDE DR DR,,Unknown,None,Unknown,Not Worn
11275652,False,False,21351,Austin Police Department,True,21351,2014,,False,No,0,0,1,1,0,Non-Incapacitating Injury,1753,1,0,2010,Wednesday,Pedalcyclist,State Loop,CONGRESS AVE,Intersection,30.26339563,Daylight,-97.74449683,One Motor Vehicle - Going Straight,4,Not Applicable,10,Not Applicable,False,BICYCLE FORKS AND BENT RIM,80,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",35,SL0343,100,Dry,Signal Light,Clear,Not Worn
11328503,False,False,,Austin Police Department,False,,,10-0760213,False,No,0,0,1,0,0,Non-Incapacitating Injury,227,1,1,2010,Wednesday,Pedalcyclist,,,Non Intersection,30.26991478,"Dark, Lighted",-97.74210246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,,35,W 8TH ST,100,Dry,None,Clear,Not Worn
11354970,False,False,,Austin Police Department,True,,,100761873,False,No,0,0,1,1,0,Non-Incapacitating Injury,1934,1,0,2010,Wednesday,Pedalcyclist,,OAK KNOLL DR,Intersection,30.42759475,Daylight,-97.76006245,One Motor Vehicle - Turning Right,,Not Applicable,,Not Applicable,False,DAMAGE TO BICYCLE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,45,JOLLYVILLE RD,12019,Dry,Signal Light,Clear,"Worn, Not Damaged"
11676787,False,False,,Austin Police Department,True,,,10-0771699,False,No,0,0,0,1,0,Not Injured,1711,0,1,2010,Thursday,Pedalcyclist,,E RIVERSIDE DR,Intersection Related,30.22490479,Daylight,-97.70349247,One Motor Vehicle - Turning Right,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,MONTOPOLIS DR,2001,Dry,Signal Light,Clear,Not Worn
11942966,False,False,,Austin Police Department,False,,,100772241,False,No,0,0,0,1,1,Possible Injury,2045,1,0,2010,Thursday,Pedalcyclist,,E 22ND ST,Intersection Related,30.28343478,Daylight,-97.71797247,One Motor Vehicle - Turning Left,,Not Applicable,,Not Applicable,False,BIKE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,30,CHESTNUT AVE,2199,Dry,Center Stripe/Divider,Clear,Not Worn
11350536,False,False,,Austin Police Department,True,,,100781412,False,No,0,0,1,1,0,Non-Incapacitating Injury,1442,1,0,2010,Friday,Pedalcyclist,,UNKNOWN,Intersection,30.25890478,Daylight,-97.74621246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,Off Roadway,,35,CONGRESS AVE S,301,Dry,Signal Light,Clear,Not Worn
11649633,False,False,,Austin Police Department,True,,,10-0780155,False,No,0,0,0,2,1,Possible Injury,107,1,0,2010,Friday,Pedalcyclist,,BRAZOS ST,Intersection,30.26768478,"Dark, Lighted",-97.74147246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,E 6TH ST,198,Dry,Officer,Clear,"Worn, Not Damaged"
11781406,True,False,,Austin Police Department,True,,,100781626,False,No,0,0,1,1,0,Non-Incapacitating Injury,1621,1,0,2010,Friday,Pedalcyclist,,UNKNOWN,Intersection,30.27234477,Daylight,-97.73501245,One Motor Vehicle - Turning Left,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,,30,E 12TH ST,600,Dry,Signal Light,Clear,"Worn, Damaged"
11942975,True,False,,Austin Police Department,False,,,10-0782329,False,No,0,1,0,4,0,Incapacitating Injury,2129,1,0,2010,Friday,Pedalcyclist,,UNKNOWN,Intersection Related,30.26253478,"Dark, Lighted",-97.72210247,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,30,CHICON ST,700,Dry,Signal Light,Clear,Not Worn
11384922,False,False,148494,Austin Police Department,False,148494,2014,10-0792040,False,No,0,0,1,1,0,Non-Incapacitating Injury,2115,1,0,2010,Saturday,Pedalcyclist,Interstate,,Non Intersection,30.26338039,"Dark, Not Lighted",-97.73554184,One Motor Vehicle - Going Straight,6,Not Applicable,5,Not Applicable,False,NONE,300,Interstate,"Straight, Level",Service/Frontage Road,On Roadway,"4 Or More Lanes, Divided",45,IH0035,,Dry,None,Clear,Not Worn
11258683,False,False,,Austin Police Department,True,,,100801389,False,No,0,0,1,1,0,Non-Incapacitating Injury,1623,1,0,2010,Sunday,Pedalcyclist,,E MARTIN LUTHER KING JR BLVD,Intersection,30.28584477,Daylight,-97.68262248,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,,0,SPRINGDALE RD,4301,Dry,Signal Light,Clear,Not Worn
11696187,False,False,,Austin Police Department,False,,,100840766,False,No,0,0,0,1,1,Possible Injury,1112,1,0,2010,Thursday,Pedalcyclist,,OLTORF ST E,Intersection Related,30.23864019,Daylight,-97.75367403,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,S CONGRESS AVE,2409,Dry,Marked Lanes,Clear,Not Worn
11258534,False,False,,Austin Police Department,False,,,10-0851751,False,No,0,0,1,1,0,Non-Incapacitating Injury,1800,1,0,2010,Friday,Pedalcyclist,,,Non Intersection,30.33596704,Daylight,-97.72001383,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Other (Explain In Narrative),On Roadway,,40,N LAMAR BLVD,6800,Dry,Marked Lanes,Clear,Not Worn
11942998,False,False,,Austin Police Department,True,,,100861750,False,No,0,1,0,0,0,Incapacitating Injury,1831,1,1,2010,Saturday,Pedalcyclist,,SPRINGDALE RD,Intersection,30.27399478,Daylight,-97.69015248,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,LEDESMA RD,4600,Dry,Other (Explain In Narrative),Clear,Not Worn
11372268,True,False,125081,Austin Police Department,True,125081,2014,100881600,False,No,0,0,1,0,0,Non-Incapacitating Injury,1903,1,1,2010,Monday,Pedalcyclist,US Highway,FM1325,Intersection,30.36040476,"Dark, Not Lighted",-97.71668384,One Motor Vehicle - Going Straight,6,Not Applicable,10,Not Applicable,False,NONE,260,US & State Highways,"Straight, Level",Service/Frontage Road,On Roadway,"4 Or More Lanes, Divided",0,US0183,,Dry,Signal Light,Clear,Not Worn
