Crash ID,$1000 Damage to Any One Person's Property,Active School Zone Flag,Agency,At Intersection Flag,Construction Zone Flag,Construction Zone Workers Present Flag,Crash Death Count,Crash Incapacitating Injury Count,Crash Non-incapacitating Injury Count,Crash Not Injured Count,Crash Possible Injury Count,Crash Severity,Crash Time,Crash Total Injury Count,Crash Unknown Injury Count,Crash Year,Day of Week,First Harmful Event,Intersection Related,Latitude,Light Condition,Longitude,Manner of Collision,Other Factor,Physical Feature 1,Private Drive Flag,Property Damages,Road Class,Roadway Alignment,Roadway Part,Roadway Relation,Speed Limit,Street Name,Street Number,Surface Condition,Traffic Control Type,Weather Condition,Person Helmet,MercatorX,MercatorY
11259446,False,False,Austin Police Department,False,False,No,0,0,0,0,1,Possible Injury,04:39:00,1,0,2010,Friday,Pedalcyclist,Non Intersection,30.26240035,"Dark, Lighted",-97.7579672,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,BICYCLE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,35,SL0343,NO DATA,Wet,None,Rain,Not Worn,-10882367.129689539,3537323.7508385885
11275895,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,17:42:00,1,0,2010,Friday,Pedalcyclist,Intersection,30.22035479,Daylight,-97.76552246,One Motor Vehicle - Turning Left,Not Applicable,Not Applicable,False,BICYCLE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,40,S CONGRESS AVE,4229,Dry,None,Cloudy,Not Worn,-10883208.17738555,3531905.9603073695
12111502,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,16:51:00,1,0,2010,Friday,Pedalcyclist,Non Intersection,30.29461477,Daylight,-97.74248246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,GUADALUPE ST,2817,Dry,None,Cloudy,Not Worn,-10880643.376317674,3541476.3171387273
11385296,False,False,Austin Police Department,True,False,No,0,1,0,1,0,Incapacitating Injury,07:22:00,1,0,2010,Wednesday,Pedalcyclist,Intersection,30.26805478,Daylight,-97.74281246,One Motor Vehicle - Turning Left,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,CONGRESS AVE,599,Unknown,Signal Light,Unknown,Not Worn,-10880680.111749634,3538052.5306380917
11184837,False,False,Austin Police Department,True,False,No,0,0,0,0,1,Possible Injury,07:58:00,1,1,2010,Friday,Pedalcyclist,Intersection,30.32328119,Daylight,-97.73400717,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,30,NORTHLOOP BLVD W,1204,Dry,Stop Sign,Clear,Not Worn,-10879699.911350548,3545172.6792721944
11184966,False,False,Austin Police Department,True,False,No,0,0,0,4,1,Possible Injury,16:58:00,1,0,2010,Monday,Pedalcyclist,Intersection,30.23550479,Daylight,-97.75636246,One Motor Vehicle - Turning Right,Not Applicable,Not Applicable,False,BLUE BICYCLE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,CUMBERLAND RD,100,Dry,Signal Light,Cloudy,Not Worn,-10882188.490849884,3533857.8500356195
11185022,False,False,Austin Police Department,True,False,No,0,0,1,2,0,Non-Incapacitating Injury,13:15:00,1,0,2010,Saturday,Pedalcyclist,Intersection,30.29649477,Daylight,-97.74211246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,0,GUADALUPE ST,2933,Dry,Signal Light,Clear,Not Worn,-10880602.18810608,3541718.698693272
11184972,True,False,Austin Police Department,True,False,No,0,0,1,4,0,Non-Incapacitating Injury,12:16:00,1,0,2010,Sunday,Motor Vehicle In Transport,Intersection,30.34396476,Daylight,-97.71495247,Angle - Both Going Straight,Not Applicable,Not Applicable,False,NONE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,45,N LAMAR BLVD,NO DATA,Dry,Signal Light,Clear,Not Worn,-10877578.75184933,3547840.37280799
11656056,False,False,Austin Police Department,True,False,No,0,1,0,2,0,Incapacitating Injury,19:45:00,1,0,2010,Sunday,Pedalcyclist,Intersection,30.3682119,"Dark, Lighted",-97.74248522,One Motor Vehicle - Turning Left,Not Applicable,Not Applicable,False,NONE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,35,SL0001,NO DATA,Dry,Signal Light,Cloudy,Not Worn,-10880643.683559468,3550968.4008850204
11768495,False,False,Austin Police Department,True,False,No,0,0,1,2,0,Non-Incapacitating Injury,11:26:00,1,0,2010,Friday,Pedalcyclist,Intersection,30.26997478,Daylight,-97.74594246,One Motor Vehicle - Turning Left,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,30,W 7TH ST,NO DATA,Wet,Signal Light,Cloudy,Not Worn,-10881028.541755818,3538300.002300287
11216714,False,False,Austin Police Department,False,False,No,0,0,1,1,0,Non-Incapacitating Injury,18:40:00,1,0,2010,Saturday,Pedalcyclist,Driveway Access,30.26035863,"Dark, Not Lighted",-97.75869945,One Motor Vehicle - Going Straight,One Vehicle Leaving Driveway,Entrance To Or Exit From Private Property Or Driveway,False,NONE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,40,SL0343,508,Dry,None,Clear,Not Worn,-10882448.643386673,3537060.6109674443
12117650,False,False,Austin Police Department,False,False,No,0,0,0,2,1,Possible Injury,11:52:00,1,0,2010,Monday,Pedalcyclist,Intersection Related,30.23604737,Daylight,-97.76345771,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,S 1ST ST,2898,Dry,None,Clear,Not Worn,-10882978.330466935,3533927.7603224167
11185428,False,False,Austin Police Department,True,False,No,0,0,0,0,1,Possible Injury,07:58:00,1,1,2010,Thursday,Pedalcyclist,Intersection,30.32328119,Daylight,-97.73400717,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,30,NORTHLOOP BLVD W,1204,Dry,Stop Sign,Clear,Not Worn,-10879699.911350548,3545172.6792721944
11220121,False,False,Austin Police Department,False,False,No,0,0,0,1,1,Possible Injury,16:54:00,1,0,2010,Sunday,Pedalcyclist,Non Intersection,30.35533624,Daylight,-97.79348984,One Motor Vehicle - Going Straight,Vehicle Changing Lanes,Not Applicable,False,NONE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,60,SL0360,NO DATA,Dry,Marked Lanes,Clear,"Worn, Damaged",-10886321.491885973,3549307.2661404214
11312103,True,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,06:50:00,1,0,2010,Monday,Pedalcyclist,Intersection,30.26009478,Daylight,-97.70946247,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,E 7TH ST,2798,Wet,Signal Light,Cloudy,Not Worn,-10876967.607844874,3537026.6059912513
11219281,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,17:34:00,1,0,2010,Tuesday,Pedalcyclist,Intersection Related,30.28027478,Daylight,-97.73678246,One Motor Vehicle - Turning Right,Not Applicable,Not Applicable,False,SCWINN ROAD BIKE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,E MARTIN LUTHER KING JR BLVD,200,Dry,Signal Light,Clear,Unknown If Worn,-10880008.855220152,3539627.667296207
11546153,False,False,Austin Police Department,True,False,No,0,0,0,1,1,Possible Injury,14:20:00,1,0,2010,Tuesday,Pedalcyclist,Intersection Related,30.1934248,Daylight,-97.78006246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,MOUNTAIN BIKE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,W WILLIAM CANNON DR,NO DATA,Dry,Stop Sign,Clear,Not Worn,-10884826.762781685,3528437.1068143533
11464818,True,False,Austin Police Department,True,False,No,0,0,2,1,0,Non-Incapacitating Injury,17:37:00,2,0,2010,Wednesday,Motor Vehicle In Transport,Intersection,30.27877478,Daylight,-97.74619246,Opposite Direction - One Straight-One Left Turn,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,30,W 15TH ST,NO DATA,Dry,Signal Light,Clear,Not Worn,-10881056.371628517,3539434.3093565092
11470674,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,11:36:00,1,0,2010,Monday,Pedalcyclist,Intersection,30.29430477,Daylight,-97.73748246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,30,UNIVERSITY AVE,2901,Wet,Stop Sign,Rain,Not Worn,-10880086.778863706,3541436.350413756
11470675,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,11:36:00,1,0,2010,Monday,Pedalcyclist,Intersection,30.29430477,Daylight,-97.73748246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,30,UNIVERSITY AVE,2901,Wet,Stop Sign,Rain,Not Worn,-10880086.778863706,3541436.350413756
11328398,True,False,Austin Police Department,False,False,No,0,1,0,1,0,Incapacitating Injury,06:08:00,1,0,2010,Tuesday,Pedalcyclist,Non Intersection,30.36106904,"Dark, Not Lighted",-97.68625661,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,Interstate,"Straight, Level",Service/Frontage Road,On Roadway,55,IH0035,NO DATA,Wet,Marked Lanes,Fog,Not Worn,-10874384.343326256,3550046.8480755775
11376350,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,13:25:00,1,0,2010,Tuesday,Pedalcyclist,Intersection,30.29264477,Daylight,-97.73363246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,0,RATHERVUE PL,NO DATA,Dry,Stop Sign,Clear,"Worn, Unk Damage",-10879658.198824152,3541222.337197208
11350439,False,False,Austin Police Department,False,False,No,0,0,1,1,0,Non-Incapacitating Injury,23:26:00,1,0,2010,Wednesday,Pedalcyclist,Intersection Related,30.29883392,"Dark, Lighted",-97.74063632,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,GUADALUPE ST,3112,Dry,Marked Lanes,Clear,Not Worn,-10880437.864952939,3542020.2832732033
11243422,True,False,Austin Police Department,True,False,No,0,0,1,0,0,Non-Incapacitating Injury,20:25:00,1,0,2010,Sunday,Pedalcyclist,Intersection,30.2618442,"Dark, Lighted",-97.73886871,One Motor Vehicle - Turning Right,Not Applicable,Not Applicable,False,NONE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,30,SL0343,598,Dry,Signal Light,Clear,Not Worn,-10880241.09550782,3537252.072867916
11376416,False,False,Austin Police Department,False,False,No,0,0,1,2,0,Non-Incapacitating Injury,11:40:00,1,0,2010,Sunday,Pedalcyclist,Driveway Access,30.26297822,Daylight,-97.72636792,One Motor Vehicle - Turning Right,One Vehicle Entering Driveway,Entrance To Or Exit From Private Property Or Driveway,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,30,E 6TH ST,1607,Dry,Center Stripe/Divider,Clear,Not Worn,-10878849.513930507,3537398.228565967
11275652,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,17:53:00,1,0,2010,Wednesday,Pedalcyclist,Intersection,30.26339563,Daylight,-97.74449683,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,BICYCLE FORKS AND BENT RIM,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,35,SL0343,100,Dry,Signal Light,Clear,Not Worn,-10880867.614960343,3537452.0259697665
11328503,False,False,Austin Police Department,False,False,No,0,0,1,0,0,Non-Incapacitating Injury,02:27:00,1,1,2010,Wednesday,Pedalcyclist,Non Intersection,30.26991478,"Dark, Lighted",-97.74210246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,35,W 8TH ST,100,Dry,None,Clear,Not Worn,-10880601.074911172,3538292.268737582
11354970,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,19:34:00,1,0,2010,Wednesday,Pedalcyclist,Intersection,30.42759475,Daylight,-97.76006245,One Motor Vehicle - Turning Right,Not Applicable,Not Applicable,False,DAMAGE TO BICYCLE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,45,JOLLYVILLE RD,12019,Dry,Signal Light,Clear,"Worn, Not Damaged",-10882600.371852625,3558632.4269095953
11676787,False,False,Austin Police Department,True,False,No,0,0,0,1,0,Not Injured,17:11:00,0,1,2010,Thursday,Pedalcyclist,Intersection Related,30.22490479,Daylight,-97.70349247,One Motor Vehicle - Turning Right,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,MONTOPOLIS DR,2001,Dry,Signal Light,Clear,Not Worn,-10876303.030484838,3532492.1398198134
11942966,False,False,Austin Police Department,False,False,No,0,0,0,1,1,Possible Injury,20:45:00,1,0,2010,Thursday,Pedalcyclist,Intersection Related,30.28343478,Daylight,-97.71797247,One Motor Vehicle - Turning Left,Not Applicable,Not Applicable,False,BIKE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,30,CHESTNUT AVE,2199,Dry,Center Stripe/Divider,Clear,Not Worn,-10877914.936711526,3540035.0176949967
11350536,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,14:42:00,1,0,2010,Friday,Pedalcyclist,Intersection,30.25890478,Daylight,-97.74621246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,Off Roadway,35,CONGRESS AVE S,301,Dry,Signal Light,Clear,Not Worn,-10881058.598018331,3536873.2399797062
11649633,False,False,Austin Police Department,True,False,No,0,0,0,2,1,Possible Injury,01:07:00,1,0,2010,Friday,Pedalcyclist,Intersection,30.26768478,"Dark, Lighted",-97.74147246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,E 6TH ST,198,Dry,Officer,Clear,"Worn, Not Damaged",-10880530.943631971,3538004.8413427277
11781406,True,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,16:21:00,1,0,2010,Friday,Pedalcyclist,Intersection,30.27234477,Daylight,-97.73501245,One Motor Vehicle - Turning Left,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,30,E 12TH ST,600,Dry,Signal Light,Clear,"Worn, Damaged",-10879811.818608252,3538605.4805191373
11942975,True,False,Austin Police Department,False,False,No,0,1,0,4,0,Incapacitating Injury,21:29:00,1,0,2010,Friday,Pedalcyclist,Intersection Related,30.26253478,"Dark, Lighted",-97.72210247,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,30,CHICON ST,700,Dry,Signal Light,Clear,Not Worn,-10878374.686208501,3537341.0765663222
11384922,False,False,Austin Police Department,False,False,No,0,0,1,1,0,Non-Incapacitating Injury,21:15:00,1,0,2010,Saturday,Pedalcyclist,Non Intersection,30.26338039,"Dark, Not Lighted",-97.73554184,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,Interstate,"Straight, Level",Service/Frontage Road,On Roadway,45,IH0035,NO DATA,Dry,None,Clear,Not Worn,-10879870.750033485,3537450.0617760164
11258683,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,16:23:00,1,0,2010,Sunday,Pedalcyclist,Intersection,30.28584477,Daylight,-97.68262248,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,0,SPRINGDALE RD,4301,Dry,Signal Light,Clear,Not Worn,-10873979.793825177,3540345.6943574995
11696187,False,False,Austin Police Department,False,False,No,0,0,0,1,1,Possible Injury,11:12:00,1,0,2010,Thursday,Pedalcyclist,Intersection Related,30.23864019,Daylight,-97.75367403,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,S CONGRESS AVE,2409,Dry,Marked Lanes,Clear,Not Worn,-10881889.21619125,3534261.8450301136
11258534,False,False,Austin Police Department,False,False,No,0,0,1,1,0,Non-Incapacitating Injury,18:00:00,1,0,2010,Friday,Pedalcyclist,Non Intersection,30.33596704,Daylight,-97.72001383,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Other (Explain In Narrative),On Roadway,40,N LAMAR BLVD,6800,Dry,Marked Lanes,Clear,Not Worn,-10878142.17986725,3546808.788411952
11942998,False,False,Austin Police Department,True,False,No,0,1,0,0,0,Incapacitating Injury,18:31:00,1,1,2010,Saturday,Pedalcyclist,Intersection,30.27399478,Daylight,-97.69015248,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,LEDESMA RD,4600,Dry,Other (Explain In Narrative),Clear,Not Worn,-10874818.02959085,3538818.161769766
11372268,True,False,Austin Police Department,True,False,No,0,0,1,0,0,Non-Incapacitating Injury,19:03:00,1,1,2010,Monday,Pedalcyclist,Intersection,30.36040476,"Dark, Not Lighted",-97.71668384,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,US & State Highways,"Straight, Level",Service/Frontage Road,On Roadway,0,US0183,NO DATA,Dry,Signal Light,Clear,Not Worn,-10877771.487076104,3549961.1478564613
11372269,False,False,Austin Police Department,True,False,No,0,0,0,2,0,Not Injured,17:32:00,0,0,2010,Tuesday,Pedalcyclist,Intersection,30.41757489,Daylight,-97.69937302,One Motor Vehicle - Turning Left,Not Applicable,Not Applicable,False,NONE,Farm To Market,"Straight, Grade",Other (Explain In Narrative),On Roadway,45,FM0734,2301,Dry,None,Clear,Not Worn,-10875844.45540849,3557338.9241461195
11567329,True,False,Austin Police Department,False,False,No,0,1,0,2,0,Incapacitating Injury,04:48:00,1,0,2010,Wednesday,Pedalcyclist,Non Intersection,30.2799256,"Dark, Lighted",-97.70229454,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,45,SL0111,1552,Dry,Marked Lanes,Clear,Not Worn,-10876169.677527232,3539582.6558820163
11283543,False,False,Austin Police Department,False,False,No,0,0,1,2,0,Non-Incapacitating Injury,01:04:00,1,0,2010,Friday,Pedalcyclist,Non Intersection,30.26056417,"Dark, Not Lighted",-97.74555454,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,30,CONGRESS AVE S,NO DATA,Dry,None,Clear,Not Worn,-10880985.35869895,3537087.1010167515
11370126,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,09:49:00,1,0,2010,Friday,Pedalcyclist,Intersection,30.22081714,Daylight,-97.79405128,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,Farm To Market,"Straight, Hillcrest",Main/Proper Lane,On Roadway,35,FM 2304,5095,Dry,Signal Light,Clear,Not Worn,-10886383.991100883,3531965.5239262506
11283603,True,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,01:06:00,1,0,2010,Sunday,Pedalcyclist,Intersection,30.23879479,"Dark, Lighted",-97.75354246,One Motor Vehicle - Turning Left,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,S CONGRESS AVE,2401,Dry,Signal Light,Clear,Not Worn,-10881874.569885848,3534281.765509607
11283680,False,False,Austin Police Department,True,False,No,0,0,0,2,0,Not Injured,08:37:00,0,0,2010,Monday,Pedalcyclist,Intersection,30.27996478,Daylight,-97.73572246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,30,SAN JACINTO BLVD,1899,Dry,Crosswalk,Cloudy,Not Worn,-10879890.856559912,3539587.706413039
11286914,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,14:02:00,1,0,2010,Tuesday,Pedalcyclist,Intersection,30.29264477,Daylight,-97.73363246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,25,E 31ST ST,498,Dry,Stop Sign,Clear,Not Worn,-10879658.198824152,3541222.337197208
11596671,False,False,Austin Police Department,False,False,No,0,0,1,1,0,Non-Incapacitating Injury,08:51:00,1,0,2010,Wednesday,Pedalcyclist,Intersection,30.18518576,Daylight,-97.8532711,One Motor Vehicle - Turning Right,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,40,W SLAUGHTER LN,NO DATA,Dry,Signal Light,Cloudy,"Worn, Not Damaged",-10892976.311308153,3527376.025171344
11764578,False,False,Austin Police Department,False,False,No,0,0,0,1,1,Possible Injury,13:59:00,1,0,2010,Wednesday,Pedalcyclist,Non Intersection,30.38841056,Daylight,-97.75166203,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,US & State Highways,"Straight, Grade",Main/Proper Lane,On Roadway,60,SL0360,NO DATA,Dry,None,Cloudy,"Worn, Not Damaged",-10881665.241375774,3553574.7427333067
11393812,False,False,Austin Police Department,False,False,No,0,0,1,1,0,Non-Incapacitating Injury,17:22:00,1,0,2010,Thursday,Pedalcyclist,Non Intersection,30.2503331,Daylight,-97.74941823,One Motor Vehicle - Turning Right,Not Applicable,Parking Area Within Right Of Way,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,0,CONGRESS AVE S,1328,Dry,Marked Lanes,Clear,"Worn, Not Damaged",-10881415.462702334,3535768.5853156727
11545919,False,False,Austin Police Department,True,False,No,0,0,0,1,1,Possible Injury,09:19:00,1,0,2010,Thursday,Pedalcyclist,Intersection Related,30.15267481,Daylight,-97.85686244,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,0,GATLING GUN LN,12201,Dry,Signal Light,Cloudy,Not Worn,-10893376.097448219,3523189.901560046
