Crash ID,$1000 Damage to Any One Person's Property,Active School Zone Flag,Adjusted Average Daily Traffic Amount,Agency,At Intersection Flag,Average Daily Traffic Amount,Average Daily Traffic Year,Case ID,City,Construction Zone Flag,Construction Zone Workers Present Flag,County,Crash Death Count,Crash Incapacitating Injury Count,Crash Non-incapacitating Injury Count,Crash Not Injured Count,Crash Possible Injury Count,Crash Severity,Crash Time,Crash Total Injury Count,Crash Unknown Injury Count,Crash Year,Day of Week,First Harmful Event,Highway System,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Longitude,Manner of Collision,Number of Lanes,Other Factor,Outside Shoulder Width on Divided Highway,Physical Feature 1,Population Group,Private Drive Flag,Property Damages,Right of Way Usual Width,Road Class,Roadway Alignment,Roadway Part,Roadway Relation,Roadway Type,Speed Limit,Street Name,Street Number,Surface Condition,Traffic Control Type,Weather Condition,Person Helmet,Person Type
12109691,Yes,No,44866,Austin Police Department,TRUE,44866,2014,100230968,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1124,1,0,2010,Saturday,Pedalcyclist,State Loop,RM2222,Intersection,30.33047467,Daylight,-97.80934279,One Motor Vehicle - Turning Right,4,Not Applicable,10,Not Applicable,"250,000 Pop And Over",No,NONE,350,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Divided",55,SL0360,NO DATA,Dry,Stop Sign,Clear,"Worn, Not Damaged",Pedalcyclist
12111913,Yes,No,No Data,Austin Police Department,TRUE,No Data,No Data,100231476,Austin,No,No,Travis,0,0,3,1,0,Non-Incapacitating Injury,1605,3,0,2010,Saturday,Motor Vehicle In Transport,State Highway,VICTORY DR,Intersection,No Data,Daylight,No Data,Angle - Both Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,"ELECTRONIC PEDESTRIAN SIGNAL, FIRE HYDRANT",No Data,US & State Highways,"Straight, Level",Service/Frontage Road,On Roadway,No Data,35,SH0290,NO DATA,Dry,Signal Light,Clear,Not Worn,Pedalcyclist
11275770,No,No,115456,Austin Police Department,FALSE,115456,2014,10-0261592,Austin,No,No,Travis,0,0,0,1,1,Possible Injury,1739,1,0,2010,Tuesday,Pedalcyclist,US Highway,N/A,Non Intersection,30.37247755,Daylight,-97.72483975,One Motor Vehicle - Going Straight,6,Not Applicable,10,In A Parking Lot,"250,000 Pop And Over",Yes,NONE,260,US & State Highways,"Straight, Grade",Service/Frontage Road,Not Applicable,"4 Or More Lanes, Divided",55,US0183,NO DATA,Dry,None,Clear,Not Worn,Pedalcyclist
11167757,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,10-0271206,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1435,1,0,2010,Wednesday,Pedalcyclist,No Data,N/A,Driveway Access,No Data,Daylight,No Data,One Motor Vehicle - Going Straight,No Data,One Vehicle Leaving Driveway,No Data,Private Drive Or Road,"250,000 Pop And Over",Yes,NONE,No Data,Non Trafficway,"Straight, Grade",Other (Explain In Narrative),Not Applicable,No Data,0,METRIC BLVD,NO DATA,Dry,Stop Sign,Cloudy,Not Worn,Pedalcyclist
11318186,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0271405,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1618,1,0,2010,Wednesday,Pedalcyclist,No Data,W 21ST ST,Intersection,30.28396478,Daylight,-97.74401246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,30,NUECES ST,2099,Dry,Stop Sign,Clear,Not Worn,Pedalcyclist
11259446,No,No,33647,Austin Police Department,FALSE,33647,2014,100290334,Austin,No,No,Travis,0,0,0,0,1,Possible Injury,439,1,0,2010,Friday,Pedalcyclist,State Loop,N/A,Non Intersection,30.26240035,"Dark, Lighted",-97.7579672,One Motor Vehicle - Going Straight,6,Not Applicable,0,Not Applicable,"250,000 Pop And Over",No,BICYCLE,120,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Divided",35,SL0343,NO DATA,Wet,None,Rain,Not Worn,Pedalcyclist
11275895,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,100291520,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1742,1,0,2010,Friday,Pedalcyclist,No Data,INDUSTRIAL BLVD,Intersection,30.22035479,Daylight,-97.76552246,One Motor Vehicle - Turning Left,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,BICYCLE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,40,S CONGRESS AVE,4229,Dry,None,Cloudy,Not Worn,Pedalcyclist
12111502,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,100291401,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1651,1,0,2010,Friday,Pedalcyclist,No Data,N/A,Non Intersection,30.29461477,Daylight,-97.74248246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,GUADALUPE ST,2817,Dry,None,Cloudy,Not Worn,Pedalcyclist
11385296,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0340379,Austin,No,No,Travis,0,1,0,1,0,Incapacitating Injury,722,1,0,2010,Wednesday,Pedalcyclist,No Data,W 6TH ST,Intersection,30.26805478,Daylight,-97.74281246,One Motor Vehicle - Turning Left,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,CONGRESS AVE,599,Unknown,Signal Light,Unknown,Not Worn,Pedalcyclist
11184837,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0360484,Austin,No,No,Travis,0,0,0,0,1,Possible Injury,758,1,1,2010,Friday,Pedalcyclist,No Data,UNKNOWN,Intersection,30.32328119,Daylight,-97.73400717,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,30,NORTHLOOP BLVD W,1204,Dry,Stop Sign,Clear,Not Worn,Pedalcyclist
11184966,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0391347,Austin,No,No,Travis,0,0,0,4,1,Possible Injury,1658,1,0,2010,Monday,Pedalcyclist,No Data,CONGRESS AVE S,Intersection,30.23550479,Daylight,-97.75636246,One Motor Vehicle - Turning Right,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,BLUE BICYCLE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,CUMBERLAND RD,100,Dry,Signal Light,Cloudy,Not Worn,Pedalcyclist
11185022,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,100441034,Austin,No,No,Travis,0,0,1,2,0,Non-Incapacitating Injury,1315,1,0,2010,Saturday,Pedalcyclist,No Data,W 30TH ST,Intersection,30.29649477,Daylight,-97.74211246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,0,GUADALUPE ST,2933,Dry,Signal Light,Clear,Not Worn,Pedalcyclist
11184972,Yes,No,No Data,Austin Police Department,TRUE,No Data,No Data,100451000,Austin,No,No,Travis,0,0,1,4,0,Non-Incapacitating Injury,1216,1,0,2010,Sunday,Motor Vehicle In Transport,No Data,UNKNOWN,Intersection,30.34396476,Daylight,-97.71495247,Angle - Both Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,No Data,45,N LAMAR BLVD,NO DATA,Dry,Signal Light,Clear,Not Worn,Pedalcyclist
11656056,No,No,123443,Austin Police Department,TRUE,123443,2014,100451790,Austin,No,No,Travis,0,1,0,2,0,Incapacitating Injury,1945,1,0,2010,Sunday,Pedalcyclist,State Loop,US0183,Intersection,30.3682119,"Dark, Lighted",-97.74248522,One Motor Vehicle - Turning Left,6,Not Applicable,10,Not Applicable,"250,000 Pop And Over",No,NONE,350,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Divided",35,SL0001,NO DATA,Dry,Signal Light,Cloudy,Not Worn,Pedalcyclist
11768495,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0500818,Austin,No,No,Travis,0,0,1,2,0,Non-Incapacitating Injury,1126,1,0,2010,Friday,Pedalcyclist,No Data,GUADALUPE ST,Intersection,30.26997478,Daylight,-97.74594246,One Motor Vehicle - Turning Left,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,No Data,30,W 7TH ST,NO DATA,Wet,Signal Light,Cloudy,Not Worn,Pedalcyclist
11216714,No,No,33647,Austin Police Department,FALSE,33647,2014,10-0511681,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1840,1,0,2010,Saturday,Pedalcyclist,State Loop,N/A,Driveway Access,30.26035863,"Dark, Not Lighted",-97.75869945,One Motor Vehicle - Going Straight,4,One Vehicle Leaving Driveway,0,Entrance To Or Exit From Private Property Or Driveway,"250,000 Pop And Over",No,NONE,80,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",40,SL0343,508,Dry,None,Clear,Not Worn,Pedalcyclist
12117650,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,10-0530877,Austin,No,No,Travis,0,0,0,2,1,Possible Injury,1152,1,0,2010,Monday,Pedalcyclist,No Data,UNKNOWN,Intersection Related,30.23604737,Daylight,-97.76345771,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,S 1ST ST,2898,Dry,None,Clear,Not Worn,Pedalcyclist
11185428,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0360484,Austin,No,No,Travis,0,0,0,0,1,Possible Injury,758,1,1,2010,Thursday,Pedalcyclist,No Data,UNKNOWN,Intersection,30.32328119,Daylight,-97.73400717,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,30,NORTHLOOP BLVD W,1204,Dry,Stop Sign,Clear,Not Worn,Pedalcyclist
11340203,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,100561292,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1543,1,0,2010,Thursday,Pedalcyclist,US Highway,N/A,Driveway Access,No Data,Daylight,No Data,One Motor Vehicle - Going Straight,No Data,One Vehicle Leaving Driveway,No Data,In A Parking Lot,"250,000 Pop And Over",No,BICYCLE,No Data,Non Trafficway,"Straight, Grade",Service/Frontage Road,Not Applicable,No Data,55,US0071,NO DATA,Dry,Other (Explain In Narrative),Clear,Not Worn,Pedalcyclist
11220121,No,No,44866,Austin Police Department,FALSE,44866,2014,10-0591497,Austin,No,No,Travis,0,0,0,1,1,Possible Injury,1654,1,0,2010,Sunday,Pedalcyclist,State Loop,N/A,Non Intersection,30.35533624,Daylight,-97.79348984,One Motor Vehicle - Going Straight,4,Vehicle Changing Lanes,10,Not Applicable,"250,000 Pop And Over",No,NONE,291,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Divided",60,SL0360,NO DATA,Dry,Marked Lanes,Clear,"Worn, Damaged",Pedalcyclist
11312103,Yes,No,No Data,Austin Police Department,TRUE,No Data,No Data,100600344,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,650,1,0,2010,Monday,Pedalcyclist,No Data,PLEASANT VALLEY RD N,Intersection,30.26009478,Daylight,-97.70946247,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,E 7TH ST,2798,Wet,Signal Light,Cloudy,Not Worn,Pedalcyclist
11217227,No,No,No Data,St Edward's University Police Department,FALSE,No Data,No Data,10-0097,Austin,No,No,Travis,0,0,0,2,1,Possible Injury,230,1,0,2010,Tuesday,Pedalcyclist,No Data,N/A,Non Intersection,No Data,"Dark, Not Lighted",No Data,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,In A Parking Lot,"250,000 Pop And Over",Yes,NONE,No Data,Non Trafficway,"Straight, Level",Other (Explain In Narrative),Not Applicable,No Data,35,WOODWARD ST,NO DATA,Other (Explain In Narrative),None,Cloudy,Not Worn,Pedalcyclist
11219281,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0611461,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1734,1,0,2010,Tuesday,Pedalcyclist,No Data,BRAZOS ST,Intersection Related,30.28027478,Daylight,-97.73678246,One Motor Vehicle - Turning Right,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,SCWINN ROAD BIKE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,E MARTIN LUTHER KING JR BLVD,200,Dry,Signal Light,Clear,Unknown If Worn,Pedalcyclist
11524643,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,100611222,Austin,No,No,Travis,0,0,0,1,0,Not Injured,1541,0,1,2010,Tuesday,Pedalcyclist,Interstate,N/A,Not Reported,No Data,Daylight,No Data,One Motor Vehicle - Other,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,Interstate,"Straight, Level",Service/Frontage Road,Not Reported,No Data,45,IH0035,NO DATA,Dry,None,Clear,Unknown If Worn,Pedalcyclist
11546153,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,100611052,Austin,No,No,Travis,0,0,0,1,1,Possible Injury,1420,1,0,2010,Tuesday,Pedalcyclist,No Data,STARSTREAK DR,Intersection Related,30.1934248,Daylight,-97.78006246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,MOUNTAIN BIKE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,W WILLIAM CANNON DR,NO DATA,Dry,Stop Sign,Clear,Not Worn,Pedalcyclist
11464818,Yes,No,No Data,Austin Police Department,TRUE,No Data,No Data,,Austin,No,No,Travis,0,0,2,1,0,Non-Incapacitating Injury,1737,2,0,2010,Wednesday,Motor Vehicle In Transport,No Data,RIO GRANDE ST,Intersection,30.27877478,Daylight,-97.74619246,Opposite Direction - One Straight-One Left Turn,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,No Data,30,W 15TH ST,NO DATA,Dry,Signal Light,Clear,Not Worn,Pedalcyclist
11470674,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0670787,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1136,1,0,2010,Monday,Pedalcyclist,No Data,W 30TH ST,Intersection,30.29430477,Daylight,-97.73748246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,No Data,30,UNIVERSITY AVE,2901,Wet,Stop Sign,Rain,Not Worn,Pedalcyclist
11470675,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0670787,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1136,1,0,2010,Monday,Pedalcyclist,No Data,W 30TH ST,Intersection,30.29430477,Daylight,-97.73748246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,No Data,30,UNIVERSITY AVE,2901,Wet,Stop Sign,Rain,Not Worn,Pedalcyclist
11328398,Yes,No,124466,Austin Police Department,FALSE,124466,2014,10-0680348,Austin,No,No,Travis,0,1,0,1,0,Incapacitating Injury,608,1,0,2010,Tuesday,Pedalcyclist,Interstate,N/A,Non Intersection,30.36106904,"Dark, Not Lighted",-97.68625661,One Motor Vehicle - Going Straight,6,Not Applicable,10,Not Applicable,"250,000 Pop And Over",No,NONE,300,Interstate,"Straight, Level",Service/Frontage Road,On Roadway,"4 Or More Lanes, Divided",55,IH0035,NO DATA,Wet,Marked Lanes,Fog,Not Worn,Pedalcyclist
11376350,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,100681085,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1325,1,0,2010,Tuesday,Pedalcyclist,No Data,DUVAL ST,Intersection,30.29264477,Daylight,-97.73363246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,No Data,0,RATHERVUE PL,NO DATA,Dry,Stop Sign,Clear,"Worn, Unk Damage",Pedalcyclist
11350439,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,10-0692426,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,2326,1,0,2010,Wednesday,Pedalcyclist,No Data,UNKNOWN,Intersection Related,30.29883392,"Dark, Lighted",-97.74063632,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,GUADALUPE ST,3112,Dry,Marked Lanes,Clear,Not Worn,Pedalcyclist
11243422,Yes,No,20895,Austin Police Department,TRUE,20895,2014,10-0731811,Austin,No,No,Travis,0,0,1,0,0,Non-Incapacitating Injury,2025,1,0,2010,Sunday,Pedalcyclist,State Loop,RED RIVER ST,Intersection,30.2618442,"Dark, Lighted",-97.73886871,One Motor Vehicle - Turning Right,4,Not Applicable,10,Not Applicable,"250,000 Pop And Over",No,NONE,80,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",30,SL0343,598,Dry,Signal Light,Clear,Not Worn,Pedalcyclist
11376416,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,100730801,Austin,No,No,Travis,0,0,1,2,0,Non-Incapacitating Injury,1140,1,0,2010,Sunday,Pedalcyclist,No Data,N/A,Driveway Access,30.26297822,Daylight,-97.72636792,One Motor Vehicle - Turning Right,No Data,One Vehicle Entering Driveway,No Data,Entrance To Or Exit From Private Property Or Driveway,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,30,E 6TH ST,1607,Dry,Center Stripe/Divider,Clear,Not Worn,Pedalcyclist
11359866,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,100741866,Austin,No,No,Travis,0,0,0,1,1,Possible Injury,2123,1,0,2010,Monday,Pedalcyclist,No Data,N/A,Non Intersection,No Data,Unknown,No Data,One Motor Vehicle - Backing,No Data,One Vehicle Backward From Parking,No Data,In A Parking Lot,"250,000 Pop And Over",Yes,NONE,No Data,Non Trafficway,Unknown,Main/Proper Lane,Not Applicable,No Data,0,E RIVERSIDE DR DR,NO DATA,Unknown,None,Unknown,Not Worn,Pedalcyclist
11275652,No,No,21351,Austin Police Department,TRUE,21351,2014,,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1753,1,0,2010,Wednesday,Pedalcyclist,State Loop,CONGRESS AVE,Intersection,30.26339563,Daylight,-97.74449683,One Motor Vehicle - Going Straight,4,Not Applicable,10,Not Applicable,"250,000 Pop And Over",No,BICYCLE FORKS AND BENT RIM,80,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",35,SL0343,100,Dry,Signal Light,Clear,Not Worn,Pedalcyclist
11328503,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,10-0760213,Austin,No,No,Travis,0,0,1,0,0,Non-Incapacitating Injury,227,1,1,2010,Wednesday,Pedalcyclist,No Data,N/A,Non Intersection,30.26991478,"Dark, Lighted",-97.74210246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,No Data,35,W 8TH ST,100,Dry,None,Clear,Not Worn,Pedalcyclist
11354970,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,100761873,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1934,1,0,2010,Wednesday,Pedalcyclist,No Data,OAK KNOLL DR,Intersection,30.42759475,Daylight,-97.76006245,One Motor Vehicle - Turning Right,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,DAMAGE TO BICYCLE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,45,JOLLYVILLE RD,12019,Dry,Signal Light,Clear,"Worn, Not Damaged",Pedalcyclist
